objectid,element,dimensiontype,dimension,unitname
73126,sheet,width,28.0,centimeters
73126,sheet,height,36.4,centimeters
73127,sheet,width,28.0,centimeters
73127,sheet,height,36.1,centimeters
73146,sheet,width,34.5,centimeters
73146,sheet,height,24.1,centimeters
73446,overall,depth,12.7,centimeters
73446,overall,width,190.5,centimeters
73446,overall,height,149.8,centimeters
73452,overall,width,23.3,centimeters
73452,overall,height,16.8,centimeters
73591,plate,width,26.7,centimeters
73591,plate,height,19.5,centimeters
73592,plate,width,19.4,centimeters
73592,plate,height,26.9,centimeters
74162,overall,width,16.8,centimeters
74162,overall,height,19.3,centimeters
74165,overall,width,10.0,centimeters
74165,overall,height,23.4,centimeters
74167,overall,width,20.0,centimeters
74167,overall,height,26.2,centimeters
74185,overall,width,31.7,centimeters
74185,overall,height,23.9,centimeters
74187,overall,width,31.4,centimeters
74187,overall,height,23.5,centimeters
74190,overall,width,59.2,centimeters
74190,overall,height,45.4,centimeters
74196,overall,width,44.4,centimeters
74196,overall,height,31.9,centimeters
74198,overall,width,10.8,centimeters
74198,overall,height,16.5,centimeters
74199,overall,width,22.6,centimeters
74199,overall,height,16.9,centimeters
74200,overall,width,22.6,centimeters
74200,overall,height,16.9,centimeters
74206,overall,width,21.7,centimeters
74206,overall,height,16.9,centimeters
74208,overall,width,22.1,centimeters
74208,overall,height,16.9,centimeters
74210,overall,width,13.2,centimeters
74210,overall,height,16.9,centimeters
74213,overall,width,11.7,centimeters
74213,overall,height,16.9,centimeters
74215,overall,width,11.3,centimeters
74215,overall,height,16.9,centimeters
74216,overall,width,11.3,centimeters
74216,overall,height,16.9,centimeters
74217,overall,width,11.4,centimeters
74217,overall,height,16.9,centimeters
74218,overall,width,11.4,centimeters
74218,overall,height,16.9,centimeters
74224,overall,width,22.4,centimeters
74224,overall,height,16.9,centimeters
74227,overall,width,22.7,centimeters
74227,overall,height,16.9,centimeters
74230,overall,width,22.4,centimeters
74230,overall,height,16.9,centimeters
74231,overall,width,22.0,centimeters
74231,overall,height,16.9,centimeters
74236,overall,width,22.0,centimeters
74236,overall,height,16.9,centimeters
74238,overall,width,22.7,centimeters
74238,overall,height,16.9,centimeters
74239,overall,width,22.6,centimeters
74239,overall,height,16.9,centimeters
74240,overall,width,22.6,centimeters
74240,overall,height,16.9,centimeters
74241,overall,width,22.6,centimeters
74241,overall,height,16.9,centimeters
74242,overall,width,22.6,centimeters
74242,overall,height,16.9,centimeters
74243,overall,width,21.8,centimeters
74243,overall,height,16.9,centimeters
74249,overall,width,22.6,centimeters
74249,overall,height,16.9,centimeters
74251,overall,width,22.3,centimeters
74251,overall,height,16.9,centimeters
74252,overall,width,22.3,centimeters
74252,overall,height,16.9,centimeters
74253,overall,width,22.6,centimeters
74253,overall,height,16.9,centimeters
74254,overall,width,22.6,centimeters
74254,overall,height,16.9,centimeters
74259,overall,width,22.7,centimeters
74259,overall,height,16.9,centimeters
74260,overall,width,22.7,centimeters
74260,overall,height,16.9,centimeters
74261,overall,width,22.6,centimeters
74261,overall,height,16.9,centimeters
74262,overall,width,22.6,centimeters
74262,overall,height,16.9,centimeters
74263,overall,width,22.1,centimeters
74263,overall,height,16.9,centimeters
74267,overall,width,22.6,centimeters
74267,overall,height,47.9,centimeters
74268,overall,width,28.0,centimeters
74268,overall,height,48.9,centimeters
74271,overall,width,11.0,centimeters
74271,overall,height,17.1,centimeters
74283,overall,width,32.9,centimeters
74283,overall,height,25.0,centimeters
74796,overall,width,101.6,centimeters
74796,overall,height,81.28,centimeters
74852,sheet,width,12.9,centimeters
74852,sheet,height,17.2,centimeters
74979,overall,width,20.1,centimeters
74979,overall,height,28.7,centimeters
75694,plate,width,15.2,centimeters
75694,plate,height,21.5,centimeters
75695,plate,width,15.2,centimeters
75695,plate,height,21.6,centimeters
75778,overall,width,13.97,centimeters
75778,overall,height,19.37,centimeters
75779,sheet,width,23.2,centimeters
